"firm_name","n_patents","ipc_main_code","ipc_main_desc","ipc_second_code","ipc_second_desc","addr_city_main","addr_dept_main"
"'add-one'",1,"A62B","DEVICES",NA,NA,"Perigny","17"
"'apollon solar'",9,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets",NA,NA,"Lyon","69"
"'s.a.g.a.c.e.' services en administration, gestion et applications au conseil a l'environnement",1,"B09B","DISPOSAL OF SOLID WASTE",NA,NA,"Paris","75"
"1/4 vin",4,"B65B","MACHINES",NA,NA,"Sollies Pont","83"
"10-vins",1,"B01F","MIXING",NA,NA,"Nantes","44"
"1st surgiconcept",2,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61L","e.g. G01N0033480000)","Tourcoing","59"
"2 flg",2,"A43B","CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR","A43D","MACHINES","Saint Malo","35"
"2bgas hydrogen",1,"F23D","BURNERS (generating combustion products of high pressure or high velocity F23R)",NA,NA,"Valenciennes","59"
"2l solutions",1,"B25H","WORKSHOP EQUIPMENT",NA,NA,"Chauvigny","86"
"2mi 'modeles et moules pour l'industrie'",1,"G01B","MEASURING LENGTH",NA,NA,"La Chabanne","33"
"3 d minerals",1,"C04B","LIME; MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF",NA,NA,"Limoges","87"
"3 s ortho",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Lyon","69"
"321 perform",1,"A61G","TRANSPORT",NA,NA,"egat","66"
"3d medical",4,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61F","e.g. G01N0033480000)","Marolles en Brie","94"
"3d plus",11,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets","H02M","APPARATUS FOR CONVERSION BETWEEN AC AND AC, BETWEEN AC AND DC, OR BETWEEN DC AND DC, AND FOR USE WITH MAINS OR SIMILAR POWER SUPPLY SYSTEMS; CONVERSION OF DC OR AC INPUT POWER INTO SURGE OUTPUT POWER; CONTROL OR REGULATION THEREOF (conversion of current or voltage specially adapted for use in electronic time-pieces with no moving parts G04G0019020000; systems for regulating electric or magnetic variables in general, e.g. using transformers, reactors or choke coils, combination of such systems with static converters G05F; for digital computers G06F0001000000; transformers H01F; connection or control of one converter with regard to conjoint operation with a similar or other source of supply H02J; dynamo-electric converters H02K0047000000; controlling transformers, reactors or choke coils, control or regulation of electric motors, generators or dynamo-electric converters H02P; pulse generators H03K)","Buc","78"
"3d-oxides",2,"B42D","BOOKS; BOOK COVERS; LOOSE LEAVES; PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR; DEVICES FOR USE THEREWITH; MOVABLE-STRIP WRITING OR READING APPARATUS (book stands A47B; reading desks A47B0019000000; book rests A47B0023000000)","B65C","LABELLING OR TAGGING MACHINES","Saint Genis Pouilly","16"
"3dceram",4,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Limoges","87"
"3dis technologies",4,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets",NA,NA,"Labege","31"
"3dkreaform",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Vaulx en Velin","69"
"3dom",2,"A61M","DEVICES FOR INTRODUCING MEDIA INTO","A61Q","OR ONTO","Olby","63"
"3gp innovation",4,"F21S","NON-PORTABLE LIGHTING DEVICES OR SYSTEMS THEREOF (burners F23D; electric aspects or elements","F21V","see section H","Chalons en Champagne","51"
"3s ortho",5,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO","A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)","Lyon","69"
"3x engineering",2,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Albert","98"
"4d view solutions",2,"G01C","MEASURING DISTANCES","H04N","LEVELS OR BEARINGS; SURVEYING; NAVIGATION; GYROSCOPIC INSTRUMENTS; PHOTOGRAMMETRY OR VIDEOGRAMMETRY (measuring liquid level G01F)","Grenoble","38"
"4d-virtualiz",1,"B25J","MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES (robotic devices for individually picking fruits",NA,NA,"Clermont Ferrand","63"
"4g secure",1,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Paris","75"
"4mc",1,"F16K","VALVES; TAPS; COCKS; ACTUATING-FLOATS; DEVICES FOR VENTING OR AERATING",NA,NA,"Sannois","95"
"4nrj",5,"G01B","MEASURING LENGTH",NA,NA,"La Chaussee Saint Victor","41"
"4p-pharma",2,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS","C07D","HETEROCYCLIC COMPOUNDS (macromolecular compounds C08)","Lille","59"
"6wind",2,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Montigny le Bretonneux","78"
"7b+",2,"A42B","HATS; HEAD COVERINGS (headbands","A61F","head-scarves A41D0020000000","Annecy","74"
"@health",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Trets","13"
"a et a - mader",19,"C09D","COATING COMPOSITIONS","C08G","MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS (fermentation or enzyme-using processes to synthesise a desired chemical compound or composition or to separate optical isomers from a racemic mixture C12P)","Lille","59"
"a et l rondot",2,"B25J","MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES (robotic devices for individually picking fruits","C03B","vegetables","Champagne au Mont d Or","69"
"a raymond et cie",8,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Grenoble","38"
"a volute",1,"H03G","CONTROL OF AMPLIFICATION (impedance networks",NA,NA,"Villeneuve d Ascq","59"
"a-nte",1,"B64B","LIGHTER-THAN-AIR AIRCRAFT (ground installations for aircraft in general B64F)",NA,NA,"Montrouge","92"
"a. raymond et cie",77,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Grenoble","38"
"a. raymond et cie-scs",2,"E05F","DEVICES FOR MOVING WINGS INTO OPEN OR CLOSED POSITION; CHECKS FOR WINGS; WING FITTINGS NOT OTHERWISE PROVIDED FOR","H01Q","CONCERNED WITH THE FUNCTIONING OF THE WING","Grenoble","38"
"a. raymond et cie.",3,"F16K","VALVES; TAPS; COCKS; ACTUATING-FLOATS; DEVICES FOR VENTING OR AERATING","F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES","Grenoble","38"
"a. raymond et cie. scs",8,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Grenoble","38"
"a.c.d.",1,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Rumilly","74"
"a.l.n.",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Ghisonaccia","20"
"a.m.d.p.",4,"B23K","SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY","B23B","TURNING; BORING (using an electrode which takes the place of a tool B23H, e.g. making holes B23H0009140000; working by laser beam B23K0026000000; arrangements for copying or controlling B23Q)","Croissy sur Seine","78"
"a.p.c.a.",2,"C08L","COMPOSITIONS OF MACROMOLECULAR COMPOUNDS (compositions based on polymerisable monomers C08F","D04H","C08G; artificial filaments or fibres D01F; textile treating compositions D06)","Paris","75"
"a.s.a. fermetures",2,"B65G","TRANSPORT OR STORAGE DEVICES",NA,NA,"Lescar","64"
"aaf france",2,"B01D","SEPARATION (separating solids from solids by wet methods B03B",NA,NA,"Gasny","27"
"aaton digital",1,"H01C","RESISTORS",NA,NA,"Verneuil sur Avre","27"
"aaxces ingenierie",2,"B21K","MAKING FORGED OR PRESSED PRODUCTS","B60B","e.g. HORSE-SHOES","La Talaudiere","42"
"ab medica",3,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Mery sur Cher","18"
"ab science",22,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS","C07D","HETEROCYCLIC COMPOUNDS (macromolecular compounds C08)","Paris","75"
