"firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"1dsolutions",2,NA,NA,"équipe",NA,75
"1g-link consulting",2,NA,NA,"Python, SQL, équipe",57500,75
"52 entertainment",7,NA,3,"A/B Testing, Communication, Communication Skills, English, Excel, SQL, Tableau",NA,NA
"ab",3,"Secteur informatique, ESN",NA,"Database, Optimization, SQL",NA,75
"abeille assurances",2,NA,NA,"Deep Learning, Français, équipe",NA,92
"abil ressources",1,"Services aux Entreprises, Secteur informatique, ESN",1,"Deep Learning",55000,94
"aboro",1,NA,NA,"Base de donnée, Communication, Créativité, Curiosité, Excel, Power BI, Programmation, Python, Rapport, Rigueur, SQL, Statistique, Tableau, équipe",NA,NA
"abylsen",5,"Secteur informatique, ESN",1,"Deep Learning",45000,13
"accelite",1,NA,NA,"Anglais, Hadoop, Power BI, Python, SQL, Spark, Statistique, Tableau",55000,75
"accenture france",60,"Secteur informatique, ESN",6.4,"Créativité, Git",NA,6
"accorcorpo",1,NA,NA,"AWS, Anglais, Apprentissage profond, Collaboration, Communication, Excel, Français, Git, Prévision, Python, SQL, équipe",NA,92
"acensi",2,"Services aux Entreprises",7,"Git, équipe",60000,33
"aceo tech",1,NA,NA,"Anglais, Excel, Gestion de Projets, équipe",NA,63
"acii by audensiel",2,"Secteur informatique, ESN",1,"modélisation, équipe",40000,44
"acssi",1,NA,NA,"Anglais, Data Visualization, Power BI, Tableau, équipe",NA,75
"act-on data",1,NA,NA,"AWS, Anglais, Azure, Excel, Français, Git, Reporting, Statistique, Tableau, équipe",NA,92
"actinvision",2,NA,NA,"Anglais, Autonome, Autonôme, Azure, Bases de donnée, Collaboration, Créativité, Curiosité, Dataviz, Optimisation, Programmation, Rapport, SQL, Tableau, modélisation, équipe",65000,67
"activus group",8,"Secteur informatique, ESN",3.25,"équipe",54399.6,31
"adalid",44,NA,NA,"Reporting, Statistique",NA,59
"adapt rh",1,"Services aux Entreprises",7,"Autonome, Autonôme, Azure, Power BI, Proactive, Reporting, équipe",90000,75
"adeo services",1,NA,NA,"Anglais, C++, Communication, Curiosité, Gestion de Projets, Git, Intelligence artificielle, Optimisation, Power BI, Programmation, Prévision, Python, SQL, Tableau, modélisation, équipe",NA,59
"adequation",1,"Services aux Entreprises, Immobilier",7,"Git, Optimisation, équipe",NA,NA
"adherence consulting",2,"Secteur informatique, ESN",7,"Bases de donnée, Git, Statistique",NA,59
"adikteev",4,"Secteur informatique, ESN",NA,"Communication, Creativity, Deep Learning, English, Français, French, Python, SQL",NA,75
"adoc talent management",1,"Services aux Entreprises",NA,"Anglais, Azure, Bases de donnée, Communication, Communication Skills, Curiosité, Database, English, Français, French, Programmation, Programming, Python, Reporting, Résolution de Problèmes, SQL, Statistique, collecte de données, data collection, modélisation, équipe",NA,75
"adod",1,"Secteur informatique, ESN",7,"AWS, Azure, Prévision, SQL, Spark, équipe",NA,69
"adone conseil",1,NA,NA,"Git, Intelligence artificielle, équipe",NA,75
"adsearch",15,"Services aux Entreprises",1,"équipe",60666.6666666667,44
"adway conseil",1,NA,NA,"Anglais, Excel, Gestion du Temps, Git, Programmation, Python, Statistique, modélisation, équipe",NA,92
"afd.tech",3,"Secteur informatique, ESN",5,NA,55000,59
"afterdata",1,NA,NA,"Créativité, Français, Programmation, Python, Rapport, équipe",NA,75
"ag solution",1,NA,NA,"Communication, Communication Skills, English, Excel, French",NA,59
"ag2r la mondiale",3,"Banque, Assurance, Finance",1,"Statistique, équipe",NA,75
"agh consulting",4,"Industrie high-tech, Telecom",7,"Communication, Reporting, équipe",NA,92
"agorastore",7,NA,NA,"AWS, Anglais, Collaboration, Curiosité, Git, Power BI, Programmation, Python, Rapport, Rigueur, Résolution de Problèmes, SQL, Tableau, modélisation, équipe",NA,NA
"aia bordeaux",1,NA,NA,"Autonome, Autonôme, Prévision, Statistique, modélisation, équipe",NA,33
"air france",1,NA,NA,"Optimisation, Programmation, Python, modélisation",NA,95
"air liquide",8,"Industrie Pétrolière, Pétrochimie",0,"Git",NA,75
"airbus",8,NA,NA,"Git",NA,13
"aircall",2,"Secteur informatique, ESN",0,"Autonomous, Communication, Communication Skills, Curious, English, Excel, French, Python, SQL",NA,75
"ais",2,"Secteur informatique, ESN",NA,"Bases de donnée, Excel, Optimisation, Power BI, SQL, équipe",NA,44
"aixial",1,NA,NA,"Artificial intelligence, Data Visualization, Power BI, Programming, Python, Statistics, Tableau, TensorFlow, data collection",NA,92
"aizen recruitment",1,NA,NA,"Anglais, Bases de donnée, Excel, Français, Gestion de Projets, Programmation, modélisation, équipe",NA,75
"akkion recruitment",1,NA,NA,"Autonome, Autonôme, Bases de donnée, Collaboration, Excel, Programmation, Python, SQL, Statistique, équipe",NA,60
"akkodis",2,"Secteur informatique, ESN",1,"Bases de donnée, Excel, Python, Tableau, Visualisation de donnée, équipe, NA",50000,63
"algoscope",1,NA,NA,"Intelligence artificielle, PyTorch, Python, TensorFlow, équipe",NA,NA
"alma",1,"Banque, Assurance, Finance",NA,"Collaboration, Communication, Communication Skills, Data Visualization, Database, English, Excel, Proactive, Project Management, Python, SQL, Tableau",NA,75
"alpee",3,"Secteur Energie, Environnement",1,NA,66666.6666666667,74
"alstom",5,"Secteur Energie, Environnement",NA,"Python",NA,41
"alteca",7,"Secteur informatique, ESN",0.714285714285714,"équipe",55000,59
"alteia",1,NA,NA,"Deep Learning",NA,NA
"altelios technology",11,"Secteur informatique, ESN",4,"équipe",52222.2222222222,92
"alten",48,"Secteur informatique, ESN",0,"Reporting, équipe",NA,92
"amazon",3,"Média, Internet, Communication",0,"AWS, Communication",NA,33
"amiltone",2,"Secteur informatique, ESN",7,"Google Cloud, Power BI, Programmation, SQL, Tableau, équipe",46500,59
"anderson rh",1,"Services aux Entreprises",1,"English, Statistics",NA,NA
"andrice",1,"Services aux Entreprises",7,"AWS, Azure, Collaboration, Hadoop, Programmation, Python, Spark, Statistique, modélisation, équipe",NA,69
"aneo",1,NA,NA,"Autonome, Autonôme, Collaboration, Français, Git, Intelligence artificielle, PyTorch, Python, TensorFlow, équipe",NA,92
"aosis",1,NA,NA,"C++, Forecasting, Git, NLP, Python, Statistique, équipe",55000,92
"aphp dsi",13,NA,2,"Deep Learning",NA,NA
"apple",1,NA,NA,"Deep Learning",NA,75
"april",2,"Banque, Assurance, Finance",NA,"Deep Learning",NA,69
"apside",12,"Secteur informatique, ESN",5,"Anglais, équipe",58000,6
"aptargroup, inc.",1,NA,NA,"Autonome, Autonôme, Bases de donnée, Collaboration, Communication, Excel, Python, Rapport, Résolution de Problèmes, SQL, Statistique, Tableau, TensorFlow, équipe",NA,27
"aquila data enabler",3,NA,NA,"Deep Learning",NA,92
"arcom",1,NA,NA,"Anglais, Collaboration, Communication, Programmation, Python, Rigueur, Statistique, équipe",NA,75
"argon & co",1,NA,NA,"Deep Learning",21600,92
"arkema",1,NA,NA,"Excel, Français, Power BI, Rapport, Tableau, Visualisation de donnée, équipe",NA,92
"arkeon energy",1,NA,NA,"Communication, Excel, French, Optimisation, Optimization, Programmation, Python, Rapport, Résolution de Problèmes, Statistique, TensorFlow, modélisation, équipe",NA,14
"armor meca developpement",1,NA,NA,"Excel, Programmation, Prévision, Rapport, Reporting, Rigueur, Statistique, Tableau, équipe",40000,22
"artefact",7,"Secteur informatique, ESN",0.333333333333333,"Excel, Git",NA,75
"artelia",1,NA,NA,"Anglais, Bases de donnée, Communication, Curiosité, Git, Programmation, Python, Rapport, Rigueur, Statistique, VBA, modélisation, équipe",NA,38
"artelys",7,NA,3,"Deep Learning",NA,NA
"artemys agil-it (groupe artemys)",1,NA,NA,"Excel, Intelligence artificielle, Programmation, Python, SQL, équipe",35000,79
"asi",4,"Secteur informatique, ESN",7,"Git, SQL, équipe",NA,69
"assurances credit mutuel gie",1,"Banque, Assurance, Finance",NA,"Autonome, Autonôme, Collaboration, Communication, Compétences en Présentation, Excel, Git, Programmation, Python, SQL, Statistique, modélisation, équipe",75000,67
"assurant",1,"Banque, Assurance, Finance",0,"Communication, Optimisation, Rapport, Reporting, équipe",NA,13
"astek",33,"Secteur informatique, ESN",4.33333333333333,"Git, équipe",NA,75
"atos",6,"Secteur informatique, ESN",0.75,"équipe",NA,33
