"firm_name","n_patents","ipc_main_code","ipc_main_desc","ipc_second_code","ipc_second_desc","addr_city_main","addr_dept_main.x","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main.y"
"'add-one'",1,"A62B","DEVICES",NA,NA,"Perigny",17,NA,NA,NA,NA,NA,NA
"'apollon solar'",9,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets",NA,NA,"Lyon",69,NA,NA,NA,NA,NA,NA
"'s.a.g.a.c.e.' services en administration, gestion et applications au conseil a l'environnement",1,"B09B","DISPOSAL OF SOLID WASTE",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"1/4 vin",4,"B65B","MACHINES",NA,NA,"Sollies Pont",83,NA,NA,NA,NA,NA,NA
"10-vins",1,"B01F","MIXING",NA,NA,"Nantes",44,NA,NA,NA,NA,NA,NA
"1st surgiconcept",2,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61L","e.g. G01N0033480000)","Tourcoing",59,NA,NA,NA,NA,NA,NA
"2 flg",2,"A43B","CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR","A43D","MACHINES","Saint Malo",35,NA,NA,NA,NA,NA,NA
"2bgas hydrogen",1,"F23D","BURNERS (generating combustion products of high pressure or high velocity F23R)",NA,NA,"Valenciennes",59,NA,NA,NA,NA,NA,NA
"2l solutions",1,"B25H","WORKSHOP EQUIPMENT",NA,NA,"Chauvigny",86,NA,NA,NA,NA,NA,NA
"2mi 'modeles et moules pour l'industrie'",1,"G01B","MEASURING LENGTH",NA,NA,"La Chabanne",33,NA,NA,NA,NA,NA,NA
"3 d minerals",1,"C04B","LIME; MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF",NA,NA,"Limoges",87,NA,NA,NA,NA,NA,NA
"3 s ortho",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Lyon",69,NA,NA,NA,NA,NA,NA
"321 perform",1,"A61G","TRANSPORT",NA,NA,"egat",66,NA,NA,NA,NA,NA,NA
"3d medical",4,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61F","e.g. G01N0033480000)","Marolles en Brie",94,NA,NA,NA,NA,NA,NA
"3d plus",11,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets","H02M","APPARATUS FOR CONVERSION BETWEEN AC AND AC, BETWEEN AC AND DC, OR BETWEEN DC AND DC, AND FOR USE WITH MAINS OR SIMILAR POWER SUPPLY SYSTEMS; CONVERSION OF DC OR AC INPUT POWER INTO SURGE OUTPUT POWER; CONTROL OR REGULATION THEREOF (conversion of current or voltage specially adapted for use in electronic time-pieces with no moving parts G04G0019020000; systems for regulating electric or magnetic variables in general, e.g. using transformers, reactors or choke coils, combination of such systems with static converters G05F; for digital computers G06F0001000000; transformers H01F; connection or control of one converter with regard to conjoint operation with a similar or other source of supply H02J; dynamo-electric converters H02K0047000000; controlling transformers, reactors or choke coils, control or regulation of electric motors, generators or dynamo-electric converters H02P; pulse generators H03K)","Buc",78,NA,NA,NA,NA,NA,NA
"3d-oxides",2,"B42D","BOOKS; BOOK COVERS; LOOSE LEAVES; PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR; DEVICES FOR USE THEREWITH; MOVABLE-STRIP WRITING OR READING APPARATUS (book stands A47B; reading desks A47B0019000000; book rests A47B0023000000)","B65C","LABELLING OR TAGGING MACHINES","Saint Genis Pouilly",16,NA,NA,NA,NA,NA,NA
"3dceram",4,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Limoges",87,NA,NA,NA,NA,NA,NA
"3dis technologies",4,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets",NA,NA,"Labege",31,NA,NA,NA,NA,NA,NA
