"entreprise","firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"1Dsolutions","1Dsolutions",2,NA,NA,"équipe",700,75
"1G-LINK CONSULTING","1G-LINK CONSULTING",2,NA,NA,"Python, SQL, équipe",40,75
"52 Entertainment","52 Entertainment",7,NA,3,"A/B Testing, Communication, Communication Skills, English, Excel, SQL, Tableau",NA,NA
"AB SCIENCE","AB SCIENCE",2,NA,NA,"Database, Excel, Optimization, Programming, SQL",NA,75
"AB Tasty","AB Tasty",1,"Secteur informatique, ESN",NA,"Creativity, Database, English, Git, Optimization, Python, SQL",NA,75
"ACCELITE","ACCELITE",1,NA,NA,"Anglais, Hadoop, Power BI, Python, SQL, Spark, Statistique, Tableau",40,75
"ACII By Audensiel","ACII By Audensiel",2,"Secteur informatique, ESN",1,"modélisation, équipe",35,44
"ACSSI","ACSSI",1,NA,NA,"Anglais, Data Visualization, Power BI, Tableau, équipe",NA,75
"ACT-ON DATA","ACT-ON DATA",1,NA,NA,"AWS, Anglais, Azure, Excel, Français, Git, Reporting, Statistique, Tableau, équipe",NA,92
"ADEO Services","ADEO Services",1,NA,NA,"Anglais, C++, Communication, Curiosité, Gestion de Projets, Git, Intelligence artificielle, Optimisation, Power BI, Programmation, Prévision, Python, SQL, Tableau, modélisation, équipe",NA,59
"ADHERENCE CONSULTING","ADHERENCE CONSULTING",2,"Secteur informatique, ESN",7,"Bases de donnée, Git, Statistique",NA,59
"ADONE CONSEIL","ADONE CONSEIL",1,NA,NA,"Git, Intelligence artificielle, équipe",70,75
"AEROW","AEROW",1,NA,NA,"Anglais, Power BI",NA,75
"AFD.TECH","AFD.TECH",3,"Secteur informatique, ESN",5,"",40,59
"AFTERDATA","AFTERDATA",1,NA,NA,"Créativité, Français, Programmation, Python, Rapport, équipe",1,75
"AG SOLUTION","AG SOLUTION",1,NA,NA,"Communication, Communication Skills, English, Excel, French",NA,59
"AG2R LA MONDIALE","AG2R LA MONDIALE",1,"Banque, Assurance, Finance",1,"Statistique, équipe",NA,75
"AG2R La Mondiale","AG2R La Mondiale",2,NA,NA,"Autonome, Autonôme, SQL, Statistique, modélisation, équipe",NA,75
"AGH Consulting","AGH Consulting",4,"Industrie high-tech, Telecom",7,"Communication, Reporting, équipe",NA,92
"AIA Bordeaux","AIA Bordeaux",1,NA,NA,"Autonome, Autonôme, Prévision, Statistique, modélisation, équipe",NA,33
"AIRBUS HELICOPTERS SAS","AIRBUS HELICOPTERS SAS",3,NA,NA,"Git",NA,13
"AIRBUS SAS","AIRBUS SAS",1,NA,NA,"AWS, Artificial intelligence, Autonomous, Collaboration, Curious, English, French, Git, Optimization, Programming, Python, Reporting, SQL, Spark, Statistical Modeling, Statistics",NA,31
"AIS","AIS",2,"Secteur informatique, ESN",NA,"Bases de donnée, Excel, Optimisation, Power BI, SQL, équipe",NA,44
"AIZEN RECRUITMENT","AIZEN RECRUITMENT",1,NA,NA,"Anglais, Bases de donnée, Excel, Français, Gestion de Projets, Programmation, modélisation, équipe",NA,75
"ALSTOM","ALSTOM",3,NA,NA,"Python",NA,93
"ALTEN","ALTEN",48,"Secteur informatique, ESN",0,"Reporting, équipe",NA,92
"APHP DSI","APHP DSI",13,NA,2,"Deep Learning",NA,NA
"APRIL","APRIL",2,"Banque, Assurance, Finance",NA,"Deep Learning",NA,69
"ARKEON ENERGY","ARKEON ENERGY",1,NA,NA,"Communication, Excel, French, Optimisation, Optimization, Programmation, Python, Rapport, Résolution de Problèmes, Statistique, TensorFlow, modélisation, équipe",NA,14
"ARMOR MECA DEVELOPPEMENT","ARMOR MECA DEVELOPPEMENT",1,NA,NA,"Excel, Programmation, Prévision, Rapport, Reporting, Rigueur, Statistique, Tableau, équipe",30,22
"ASI","ASI",4,"Secteur informatique, ESN",7,"Git, SQL, équipe",NA,69
"AUCHAN RETAIL INTERNATIONAL","AUCHAN RETAIL INTERNATIONAL",1,NA,NA,"Anglais, Base de donnée, Communication, Git, Reporting, SQL, Statistique, Visualisation de donnée, équipe",NA,59
"AUTOMOTIVE CELLS COMPANY - ACC","AUTOMOTIVE CELLS COMPANY - ACC",5,"Industrie Manufacturière",3,"Database",NA,33
"AVISIA","AVISIA",2,NA,NA,"AWS, Azure, Excel, Python, SQL, équipe",NA,75
"AXA","AXA en France",16,"Banque, Assurance, Finance",2,"équipe",800,92
"AXEAL","AXEAL",2,"Services aux Entreprises",0,"SQL, équipe",36,69
"AXSANT","AXSANT",1,NA,NA,"Anglais, Excel, Optimisation, Power BI, Programmation, Prévision, Reporting, SQL, Tableau, équipe",50,75
"AZAP","AZAP",2,NA,NA,"Anglais, Français, Programmation, Prévision, Statistique, équipe",NA,75
"Abeille assurances","Abeille assurances",2,NA,NA,"Deep Learning, Français, équipe",NA,92
"Abil Ressources","Abil Ressources",1,"Services aux Entreprises, Secteur informatique, ESN",1,"Deep Learning",45,94
"Aboro","Aboro",1,NA,NA,"Base de donnée, Communication, Créativité, Curiosité, Excel, Power BI, Programmation, Python, Rapport, Rigueur, SQL, Statistique, Tableau, équipe",NA,NA
"Abylsen","Abylsen",5,"Secteur informatique, ESN",1,"Deep Learning",35,13
"Accenture France","Accenture France",60,"Secteur informatique, ESN",6.4,"Créativité, Git",NA,6
"AccorCorpo","AccorCorpo",1,NA,NA,"AWS, Anglais, Apprentissage profond, Collaboration, Communication, Excel, Français, Git, Prévision, Python, SQL, équipe",NA,92
"Acensi","Acensi",2,"Services aux Entreprises",7,"Git, équipe",45,33
"Aceo Tech","Aceo Tech",1,NA,NA,"Anglais, Excel, Gestion de Projets, équipe",NA,63
"Actinvision","Actinvision",2,NA,NA,"Anglais, Autonome, Autonôme, Azure, Bases de donnée, Collaboration, Créativité, Curiosité, Dataviz, Optimisation, Programmation, Rapport, SQL, Tableau, modélisation, équipe",37.5,67
"Activus Group","Activus Group",8,"Secteur informatique, ESN",3.25,"équipe",45.4,31
"Adalid","Adalid",44,NA,NA,"Reporting, Statistique",NA,59
"Adapt rh","Adapt rh",1,"Services aux Entreprises",7,"Autonome, Autonôme, Azure, Power BI, Proactive, Reporting, équipe",60,75
"Adequation","Adequation",1,"Services aux Entreprises, Immobilier",7,"Git, Optimisation, équipe",NA,NA
"Adikteev","Adikteev",4,"Secteur informatique, ESN",NA,"Communication, Creativity, Deep Learning, English, Français, French, Python, SQL",NA,75
"Adoc Talent Management","Adoc Talent Management",1,"Services aux Entreprises",NA,"Anglais, Azure, Bases de donnée, Communication, Communication Skills, Curiosité, Database, English, Français, French, Programmation, Programming, Python, Reporting, Résolution de Problèmes, SQL, Statistique, collecte de données, data collection, modélisation, équipe",NA,75
"Adod","Adod",1,"Secteur informatique, ESN",7,"AWS, Azure, Prévision, SQL, Spark, équipe",NA,69
"Adsearch","Adsearch",15,"Services aux Entreprises",1,"équipe",48.6666666666667,44
"Adway Conseil","Adway Conseil",1,NA,NA,"Anglais, Excel, Gestion du Temps, Git, Programmation, Python, Statistique, modélisation, équipe",NA,92
"Agorastore","Agorastore",7,NA,NA,"AWS, Anglais, Collaboration, Curiosité, Git, Power BI, Programmation, Python, Rapport, Rigueur, Résolution de Problèmes, SQL, Tableau, modélisation, équipe",NA,NA
"Air France","Air France",1,NA,NA,"Optimisation, Programmation, Python, modélisation",NA,95
"Air Liquide","Air Liquide",8,"Industrie Pétrolière, Pétrochimie",0,"Git",NA,75
"Airbus","Airbus",4,NA,NA,"Anglais, Français, Git, Python, équipe",NA,13
"Aircall","Aircall",2,"Secteur informatique, ESN",0,"Autonomous, Communication, Communication Skills, Curious, English, Excel, French, Python, SQL",NA,75
"Aixial","Aixial",1,NA,NA,"Artificial intelligence, Data Visualization, Power BI, Programming, Python, Statistics, Tableau, TensorFlow, data collection",NA,92
"Akkion Recruitment","Akkion Recruitment",1,NA,NA,"Autonome, Autonôme, Bases de donnée, Collaboration, Excel, Programmation, Python, SQL, Statistique, équipe",NA,60
"Akkodis","Akkodis",2,"Secteur informatique, ESN",1,", Bases de donnée, Excel, Python, Tableau, Visualisation de donnée, équipe",35,63
"Algoscope","Algoscope",1,NA,NA,"Intelligence artificielle, PyTorch, Python, TensorFlow, équipe",1,NA
"Alma","Alma",1,"Banque, Assurance, Finance",NA,"Collaboration, Communication, Communication Skills, Data Visualization, Database, English, Excel, Proactive, Project Management, Python, SQL, Tableau",NA,75
"Alpee","Alpee",3,"Secteur Energie, Environnement",1,"",36.6666666666667,74
"Alstom","Alstom",2,"Secteur Energie, Environnement",NA,"Attention to Detail, Collaboration, English, Excel, French, Git, Python, Statistics, Team Player",NA,41
"Alteca","Alteca",7,"Secteur informatique, ESN",0.714285714285714,"équipe",50,59
"Alteia","Alteia",1,NA,NA,"Deep Learning",NA,NA
"Altelios Technology","Altelios Technology",1,NA,NA,"Anglais, Python, SQL, Statistique, Tableau, Visualisation de donnée, équipe",45,92
"Altelios Technology Group","Altelios Technology Group",10,"Secteur informatique, ESN",4,"équipe",43,92
"Amazon","Amazon",3,"Média, Internet, Communication",0,"AWS, Communication",NA,33
"Amiltone","Amiltone",2,"Secteur informatique, ESN",7,"Google Cloud, Power BI, Programmation, SQL, Tableau, équipe",31.5,59
"Anderson RH","Anderson RH",1,"Services aux Entreprises",1,"English, Statistics",NA,NA
"Andrice","Andrice",1,"Services aux Entreprises",7,"AWS, Azure, Collaboration, Hadoop, Programmation, Python, Spark, Statistique, modélisation, équipe",NA,69
"Aneo","Aneo",1,NA,NA,"Autonome, Autonôme, Collaboration, Français, Git, Intelligence artificielle, PyTorch, Python, TensorFlow, équipe",1,92
"Anywr freelance","Anywr freelance",1,NA,NA,"Communication, Reporting",NA,59
"Aosis","Aosis",1,NA,NA,"C++, Forecasting, Git, NLP, Python, Statistique, équipe",45,92
"Apple","Apple",1,NA,NA,"Deep Learning",NA,75
"Apside","Apside",12,"Secteur informatique, ESN",5,"Anglais, équipe",40,6
"AptarGroup, Inc.","AptarGroup, Inc.",1,NA,NA,"Autonome, Autonôme, Bases de donnée, Collaboration, Communication, Excel, Python, Rapport, Résolution de Problèmes, SQL, Statistique, Tableau, TensorFlow, équipe",NA,27
"Aquila Data Enabler","Aquila Data Enabler",3,NA,NA,"Deep Learning",NA,92
"Arcom","Arcom",1,NA,NA,"Anglais, Collaboration, Communication, Programmation, Python, Rigueur, Statistique, équipe",NA,75
"Argon & Co","Argon & Co",1,NA,NA,"Deep Learning",1,92
"Arkema","Arkema",1,NA,NA,"Excel, Français, Power BI, Rapport, Tableau, Visualisation de donnée, équipe",NA,92
"Artefact","Artefact",7,"Secteur informatique, ESN",0.333333333333333,"Excel, Git",NA,75
"Artelia","Artelia",1,NA,NA,"Anglais, Bases de donnée, Communication, Curiosité, Git, Programmation, Python, Rapport, Rigueur, Statistique, VBA, modélisation, équipe",NA,38
